kid,built_km2_2023,built_km2_2024,built_km2_2025,delta_km2_23_25
4649,0.746512359375,1.49284053125,0.746512359375,0.0
4650,0.49778865625,0.248894328125,0.49778865625,0.0
4651,0.49809459375,0.747260453125,0.249047296875,-0.249047296875
5001,26.986840375,25.487516453125,29.735462375,2.748622
5006,2.25018078125,1.750138859375,2.000159296875,-0.250021484375
5007,1.750202203125,2.250257609375,1.750202203125,0.0
5014,0.0,0.0,0.0,0.0
5020,0.0,0.0,0.0,0.0
5021,0.49948575,1.748215109375,1.2487226875,0.7492369375
5022,0.0,0.0,0.0,0.0
5025,0.749966046875,0.749966046875,0.4999785,-0.249987546875
5026,0.0,0.0,0.0,0.0
5027,0.0,0.0,0.0,0.0
5028,0.0,0.0,0.0,0.0
5029,0.0,0.0,0.0,0.0
5031,0.49689485551470586,0.49689485551470586,0.49689485551470586,0.0
5032,0.0,0.0,0.0,0.0
5033,0.0,0.0,0.0,0.0
5034,0.0,0.0,0.0,0.0
5035,2.249531984375,2.24952453125,2.249531984375,0.0
5036,0.0,0.0,0.0,0.0
5037,1.9999548125,1.7499604375,1.4999774375,-0.499977375
5038,2.500150359375,2.25013309375,2.000123265625,-0.50002709375
5041,0.0,0.0,0.0,0.0
5042,0.0,0.0,0.0,0.0
5043,0.0,0.0,0.0,0.0
5044,0.0,0.0,0.0,0.0
5045,0.0,0.0,0.0,0.0
5046,0.0,0.0,0.0,0.0
5047,0.0,0.0,0.0,0.0
5049,0.0,0.0,0.0,0.0
5052,0.0,0.0,0.0,0.0
5053,0.0,0.0,0.0,0.0
5054,0.0,0.0,0.0,0.0
5055,0.24966284375,0.24966284375,0.24966284375,0.0
5056,0.499309390625,0.24965378125,0.24965378125,-0.249655609375
5057,0.49957375,0.24977415625,0.49957375,0.0
5058,0.0,0.0,0.0,0.0
5059,1.498745375,1.7485370625,1.498745375,0.0
5060,1.00009459375,0.750089109375,1.00009459375,0.0
5061,0.0,0.0,0.0,0.0
