kommunenr,kommune,fylke
1514,Sande,Møre og Romsdal
1525,Stranda,Møre og Romsdal
1535,Vestnes,Møre og Romsdal
1539,Rauma,Møre og Romsdal
1835,Træna,Nordland
1875,Hamarøy,Nordland
4214,Froland,Agder
3821,Kviteseid,Vestfold og Telemark
