kid,built_km2_2023,built_km2_2024,built_km2_2025,gain_km2_23_24,loss_km2_23_24,net_km2_23_24,gain_km2_24_25,loss_km2_24_25,net_km2_24_25,gain_km2_23_25,loss_km2_23_25,net_km2_23_25,delta_km2_23_24,delta_km2_24_25,delta_km2_23_25
301,68.88760005784697,52.28446318746601,55.02331958675465,3.5926014262695314,20.19573829658945,-16.60313687031992,9.088277512438246,6.349421113393746,2.7388563991055364,4.026120000719497,17.89040047193388,-13.864280471214384,3.5926014262695314,9.088277512438246,4.026120000719497
1101,3.20468176361084,3.154580491394043,2.8155253388061525,0.5815342779541015,0.6316355501098633,-0.050101272216796874,0.4580742646484375,0.7971294172363281,-0.3390551526489258,0.4043976239013672,0.7935540487060547,-0.3891564248046875,0.5815342779541015,0.4580742646484375,0.4043976239013672
1103,26.953118831205717,21.302402068781834,22.66812869562055,1.716289277764055,7.367006040187941,-5.650716762423886,5.067678148212268,3.7019515213735543,1.3657266268387138,1.1182973750653435,5.4032875106505145,-4.284990135585172,1.716289277764055,5.067678148212268,1.1182973750653435
1106,9.191495567676021,9.927316463455979,9.197369361654125,1.5141001347495884,0.7782792389696308,0.7358208957799576,0.7045277122192383,1.434474814021092,-0.7299471018018536,1.3068721695659564,1.3009983755878523,0.005873793978103902,1.5141001347495884,0.7045277122192383,1.3068721695659564
1108,17.278367627008176,16.11761583282016,12.651304309480317,1.223156914541925,2.383908708729942,-1.160751794188017,1.2420609016900754,4.7083724250299195,-3.466311523339844,0.5856939544833314,5.212757272011192,-4.627063317527861,1.223156914541925,1.2420609016900754,0.5856939544833314
1111,0.6719539998494466,0.6549520560017903,0.5316451211547851,0.1494766965332031,0.16647864038085938,-0.01700194384765625,0.08681827282714843,0.21012520767415363,-0.12330693484700521,0.05996852124023438,0.20027739993489582,-0.14030887869466147,0.1494766965332031,0.08681827282714843,0.05996852124023438
1112,0.8729740724487305,0.694800822265625,0.6616696171875,0.10386131170654297,0.2820345618896484,-0.17817325018310548,0.16832607702636718,0.20145728210449218,-0.033131205078125,0.06625331903076172,0.2775577742919922,-0.21130445526123046,0.10386131170654297,0.16832607702636718,0.06625331903076172
1114,0.5216899358520508,0.4805289910888672,0.32035254229736326,0.08322222479248047,0.12438316955566406,-0.04116094476318359,0.03579381451416016,0.19597026330566406,-0.16017644879150392,0.057270813903808594,0.2586082074584961,-0.2013373935546875,0.08322222479248047,0.03579381451416016,0.057270813903808594
1119,5.779835608398438,4.478662976806641,3.9272392631740196,0.8084696915283203,2.1096423231201173,-1.3011726315917969,1.445571180532418,1.996994894165039,-0.551423713632621,0.3473931194972618,2.1999894647216798,-1.852596345224418,0.8084696915283203,1.445571180532418,0.3473931194972618
1120,5.082428655947696,2.9801255177159924,3.873790759466433,0.30591361704819625,2.4082167552799,-2.102303138231704,1.7954495387022729,0.9017842969518325,0.8936652417504406,0.35893596825717106,1.5675738647384343,-1.2086378964812634,0.30591361704819625,1.7954495387022729,0.35893596825717106
